Religionen der Föderation in unserer Galaxie Milchstraße;Babylonische Tierkreiszeichen;Erklärung warum Religionen zu Tierkreiszeichen passen;Thomasevangelium;Größenordnung;Transzendentalien, -alien, Strukturalien;andere Sternpolygonreligionen;Messias;Liebe, Ethik, spätere Religionen, Sternpolygone;Altgriechische Namen der Formen der Liebe;Intrinsische emotionale Intention für Sternpolygone;Was man erhält;Was man evolutionär erwirbt;was man braucht und evolutionär erwirbt;was man noch brauchen kann;gegen Sternpolygone sein;gleichförmige Polygone, nicht-Sternpolygone;pro andere Sternpolygone sein;Intention von Transzendenz;Bedeutung Vielfacher von Primzahlen;Licht;Analoge Größenordnungen;Monde als praktische Anwendung von Sonnen und ihrer Theorie;Vertreter höherer Konzepte, deren Religionsgründer noch nicht erschienen;Krankheit;Paradigmenkategorien oder Konzeptkategorien der Zählungen;gegen Sternpolygone sein;Kreativitäts- und Intelligenz-Typ;weitere Formen der Liebe und Wertzuschreibungen;Anführer-Arten;Berufe;Lösungen;Evolutionstheorie;Musik;Jura;Vollkommenheit des Geistes;Sternpolygon;gleichförmiges Polygon;nach innen: gut, lieb, böse, schlecht;nach innen: gut, lieb, böse, schlecht;Gegenteile weise, metaweise,optimal, kooperativ, ehrlich, abstrakt;Gegenteil weise,metaweise,optimal, kooperativ, ehrlich, abstrakt;Extrinsische (ggf. rationale) Motive für gleichförmige Polygone;Inkrementieren Universum;Mondtyp Sternpolygon;W-Fragen der Zählungen;Alpha/Beta-Mann (IMHO);evolutionäres Erlernen von Talenten;pro andere Sternpolygone sein;zeitlich, räumlich;Gegenteil von zeitlich, räumlich;dominiert: männlich oder weiblich;nach außen gut;nach außen böse;Erklärung Transzendentalie pro Strukturgröße;Informatiksicht;Mondtyp gleichförmiges Polygon;Angreifbarkeit Sternpolygon;Angreifbarkeit gleichförmiges Polygon;Glaube bzw. Erkenntnisweg zur Religion;Meinung zu anderen;Gegenteil der Meinung zu anderen;Selbstgerecht;nicht Selbstgerecht;Chef anderer Religionsgründer;model of hierarchical complexity by Michael Commons [bis zu 15 (16), danach ich JOM];Egoismus;Altruismus;geeignet für INCELs;Wirtschaftssystem;Wirtschaftssystem, inwiefern funktionstüchtig?;Erklärung;Religionsgründer: Archonten oder Propheten;irrationale algebraische Zahlen (Wurzelbildung) (Ausgangslage);diffuse abstrakt-philosophische Iteration;„model of hierarchical complexity“ im Bezug zu den Religionen;Universums Viererstruktur;Universums Viererstruktur Grundlage;Universums Viererstruktur Bedeutung;Wesentlich vs. Eigentlich;Ordnung vs. Unordnung
?;existiert nicht;existiert nicht;existiert nicht;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;110;existiert bisher nicht;102;siehe oben;?;?;?;-;?;?;vielleicht, dass man sich als Einzelner abschotten kann;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;existiert nicht;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;111;existiert bisher nicht;103;siehe oben;?;?;?;-;?;?;vielleicht, dass man sich als Einzelner abschotten kann;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;1;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;existiert nicht;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;112;existiert bisher nicht;104;siehe oben;?;?;?;-;?;?;vielleicht, dass man sich als Einzelner abschotten kann;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n;?;Wesentliches;Ordnung
?;existiert nicht;existiert nicht;existiert nicht;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;113;existiert bisher nicht;105;siehe oben;?;?;?;-;?;?;vielleicht, dass man sich als Einzelner abschotten kann;?;?;?;?;?;?;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;;;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;∞;?;Eigentliches;Unordnung
?;existiert nicht;existiert nicht;existiert nicht;?;?;nicht in den nächsten wenigen Jahrtausenden;?;?;-;?;?;?;?;?;114;existiert bisher nicht;106;siehe oben;?;?;?;-;?;?;vielleicht, dass man sich als Einzelner abschotten kann;?;?;?;?;?;;?;?;?;?;...-gramm;...-gon;;;;;?;?;?;?;?;?;?;;;;;;?;;;?;?;?;;;;;?;?;Das hier bringt familiären Egoismus;Das hier bringt familiären Altruismus;?;?;Utopie bzw. Dystopie;?;?;?;?;?;?;n^m ;?;Wesentliches;Ordnung
;;;;;;;;;;irgend ein Mond 11*11 (die 11 verstehe ich nicht gut genug);;;;;115;;107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;116;;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;117;;109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;118;;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;Smalltalk;;;;;119;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;120;;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;121;;113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;auf Wissen verzichten wollen;;;;;122;;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;123;;115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;124;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;125;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;126;;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;127;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;128;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;129;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;130;;122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;131;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;132;;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;133;;125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;134;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;135;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;136;;128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;137;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;vermutlich: sich für den ordentlichsten Menschen halten;;;;;138;;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;139;;131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;140;;132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;141;;133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;142;;134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;143;;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;144;;136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;145;;137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;146;;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;147;;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;148;;140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;149;;141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;150;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;151;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;152;;144;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;153;;145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;154;;146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;155;;147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;156;;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;157;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;158;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;159;;151;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;160;;152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;161;;153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;162;;154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;vielleicht: sich total zurücknehmen und sich darauf etwas einbilden?;;;;;163;;155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;164;;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;165;;157;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;166;;158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;167;;159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;168;;160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;169;;161;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;170;;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;171;;163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;172;;164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;173;;165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;174;;166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;175;;167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;176;;168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;177;;169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;178;;170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;179;;171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;180;;172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;181;;173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;182;;174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;183;;175;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;184;;176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;185;;177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;186;;178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;187;;179;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;188;;180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;189;;181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;irgend ein Mond 14*14;;;;;190;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;191;;183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;192;;184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;193;;185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;194;;186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;195;;187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;196;;188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;197;;189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;198;;190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;199;;191;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;200;;192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;201;;193;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;202;;194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;203;;195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;204;;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;205;;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;206;;198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;207;;199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;208;;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;209;;201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;vielleicht: andere übervorteilen ?;;;;;210;;202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;211;;203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;212;;204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;213;;205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;214;;206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;215;;207;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;216;;208;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;217;;209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;218;;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;irgend ein Mond 15*15;;;;;219;;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;220;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;221;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;222;;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;223;;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;224;;216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;225;;217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;226;;218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;227;;219;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;228;;220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n;;Wesentliches;Ordnung
;;;;;;;;;;?;;;;;229;;221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;∞;;Eigentliches;Unordnung
;;;;;;;;;;?;;;;;230;;222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n^m ;;Wesentliches;Ordnung
